establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
1,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES; MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFERCT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,870 LAGIMODIERE BLVD.   WINNIPEG MB R2J 0T9,"49.8804421, -97.07403079999999",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 3x 6fx 9B/US 11ADFGKV,(204) 233-2421 (204) 233-5413/F (204) 235-8273/I
001A,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GORUP; PASTA EXCELLENTE FOODS; PERFECT MANATOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,4141 - 1ST AVE. S.   LETHBRIDGE AB T1J 4P8,"49.7005314, -112.7813362",   ,1d 3x 6x 8Y 11ADFGKRSVI,(403) 328-1756 (403) 327-0721/I (403) 327-9821/F
2,PLAISIRS GASTRONOMIQUES INC.,3740; RUE LA VRENDRYE   BOISBRIAND QC J7H 1R5,"45.636815, -73.8562869",   , 6fgx,(450) 433-0189 (450) 433-2131/F
4,SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   FEARMANS PORK,821 APPLEBY LINE   BURLINGTON ON L7L 4W9,"43.3767746, -79.7659292",   ,1d 3x 4Y 5Y 6x 11ADFGIKQRSV,(905) 637-2301 (905) 333-2941/F (905) 333-2934/I
7,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFILED NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE EAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,6355 RICHMOND AVENUE EAST   BRANDON MB R7A 7M5,"49.8325808, -99.85349459999999",   ,1d 3x 4Y 5Y 6x 11ADFGRSI,(204) 571-2500 (204) 571-2578/F Ext. 2606/I
007F,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,2619 - 91 AVENUE   EDMONTON AB T6P 1S3,"53.5239029, -113.3833332",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1,1fi 3f 6f 11D,(905) 285-1615 (905) 285-6766/F (780) 417-4226/I
007M,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS;CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOURJERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN;FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS;GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEATCO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS;J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATIONMAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LESALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR;LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLELEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLELEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS;MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAFPREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS;MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTAEXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORCMAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRESGREENFIELD; SCHEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF;SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEYPROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD;VOLAILLE MAPLE LEAF,10 CANNING STREET WEST   BRANTFORD ON N3T 1P1,"43.1300234, -80.2907845",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11AD,(519) 759-4751 (519)-759-1636/F EXT. 119/I
9,L.G. HBERT ET FILS LTE.Also Doing Business As Name:   LES VIANDES OR-FIL INTERNATIONAL,428; RUE HBERT   STE-HLENE DE BAGOT QC J0H 1M0,"45.7347913, -72.7472457",   ,1d 3x 11ADFGKSQIV,(450) 791-2630 (450) 791-2968/F (450) 791-2247/I
10,AGROMEX INC.Also Doing Business As Name:   F. MNARD,168; RUE LAGUE   ANGE-GARDIEN QC J0E 1E0,"45.360038, -72.93752669999999",251; ROUTE 235   ANGE-GARDIEN QC J0E 1E0,1d 3x 6x 11ADFGHIOQSVKR 12Y,(450) 293-3694 (450) 293-2622/F
11,ELBEE MEAT PACKERS LIMITEDAlso Doing Business As Name:   ST. HELEN'S MEAT PACKERS : BEST MEATS,1 GLEN SCARLETT ROAD   TORONTO ON M6N 1P5,"43.6746019, -79.4729626",   ,1abcijh 3fx 6fx 11ABCDLSVP,(416) 769-1788 (416) 767-6046/I (416) 769-0649/F
